SampleID,UniqueID,GenotypeID,Reef,BagID,Species,ClipID,RackID,Treatment,Chla_ug_cm2,Colour Change,CatalaseU,Protein_ug_cm2,FvFm
1423,S1387,JAN2019_Creech_A. tenuis_67,Creech,67,A. tenuis,4,11,Ambient,4.507773834,5.878331343,0.044623794,0.152665191,0.695495635
1501,S1465,JAN2019_Creech_A. tenuis_67,Creech,67,A. tenuis,4,42,Ambient,2.366085685,-0.357884686,0.05262496,0.161973654,0.692502386
1499,S1463,JAN2019_Creech_A. tenuis_112,Creech,112,A. tenuis,2,42,Ambient,6.10390485,0.027814793,0.023771742,0.168267012,0.679551375
891,S794,JAN2019_Corbett_A. tenuis_105,Corbett,105,A. tenuis,3,B30,Ambient,5.687601986,-0.340120006,19.70448895,0.000190552,0.710656608
1871,S1793,JAN2019_Lagoon_A. tenuis_8,Lagoon,8,A. tenuis,1,20,Ambient,2.686211427,1.339273,0.702538628,0.002815504,0.656329978
1677,S1805,JAN2019_Lagoon_A. tenuis_94,Lagoon,94,A. tenuis,2,23,Ambient,3.109190325,0.781295,0.29982546,0.006167224,0.657483736
907,S810,JAN2019_Corbett_A. tenuis_84,Corbett,84,A. tenuis,1,B43,Ambient,4.649677762,0.665218387,1.520318396,0.006964485,0.709898763
1214,S1149,JAN2019_13-124_A. tenuis_192,13-124,192,A. tenuis,4,B39,Ambient,6.961007738,0.115531,0.139666685,0.022670858,0.644786119
875,S778,JAN2019_Corbett_A. tenuis_91,Corbett,91,A. tenuis,1,B26,Ambient,4.630138831,0.021377876,0.221914769,0.02281087,0.697676501
1791,S1859,JAN2019_Lagoon_A. tenuis_33,Lagoon,33,A. tenuis,4,48,Ambient,2.321360203,-1.503984,0.109017021,0.023349148,0.668724058
1874,S1796,JAN2019_Lagoon_A. tenuis_119,Lagoon,119,A. tenuis,4,20,Ambient,1.156745591,1.464091,0.051565727,0.023382087,0.659420976
1230,S1165,JAN2019_13-124_A. tenuis_190,13-124,190,A. tenuis,5,B43,Ambient,5.415021109,-0.26712,0.09530303,0.023783784,0.680793261
1210,S1145,JAN2019_13-124_A. tenuis_161,13-124,161,A. tenuis,5,B38,Ambient,5.698001311,-0.10494,0.066012311,0.02745159,0.659776548
909,S812,JAN2019_Corbett_A. tenuis_88,Corbett,88,A. tenuis,3,B43,Ambient,4.926329297,0.275979427,0.159624576,0.028733921,0.692715444
890,S793,JAN2019_Corbett_A. tenuis_112,Corbett,112,A. tenuis,2,B30,Ambient,0.185484238,0.209376984,0.081394982,0.031093918,0.680010833
899,S802,JAN2019_Corbett_A. tenuis_97,Corbett,97,A. tenuis,1,B33,Ambient,5.097664901,0.590893612,0.55501672,0.033752136,0.670892662
911,S814,JAN2019_Corbett_A. tenuis_90,Corbett,90,A. tenuis,5,B43,Ambient,2.752193582,0.247842753,0.310895284,0.036147526,0.687412765
1680,S1811,JAN2019_Lagoon_A. tenuis_1,Lagoon,1,A. tenuis,5,23,Ambient,2.00248952,-0.418337,0.171796403,0.037283769,0.697806724
910,S813,JAN2019_Corbett_A. tenuis_89,Corbett,89,A. tenuis,4,B43,Ambient,0.107609553,0.159873247,0.101486744,0.037768479,0.664354231
900,S803,JAN2019_Corbett_A. tenuis_98,Corbett,98,A. tenuis,2,B33,Ambient,0.182242456,1.582089311,0.112746609,0.041848095,0.677304201
1215,S1150,JAN2019_13-124_A. tenuis_193,13-124,193,A. tenuis,5,B39,Ambient,3.913118388,0.168703,0.058840799,0.042015915,0.644016941
893,S796,JAN2019_Corbett_A. tenuis_99,Corbett,99,A. tenuis,5,B30,Ambient,6.898918285,0.331146367,0.29345532,0.042094794,0.682465664
1208,S1143,JAN2019_13-124_A. tenuis_159,13-124,159,A. tenuis,3,B38,Ambient,5.996143577,0.347315,0.081673643,0.042556131,0.642568708
1792,S1860,JAN2019_Lagoon_A. tenuis_83,Lagoon,83,A. tenuis,5,48,Ambient,1.908233437,0.085156,0.035361487,0.044409898,0.675031053
937,,JAN2019_Corbett_A. tenuis_96,Corbett,96,A. tenuis,5,B26,Ambient,4.831291138,0.084680575,0.064007642,0.045419577,0.664802409
889,S792,JAN2019_Corbett_A. tenuis_101,Corbett,101,A. tenuis,1,B30,Ambient,4.879530291,-0.055151787,0.474761322,0.046473477,0.652682833
