SampleID,GenotypeID,Species,ClipID,RackID,Treatment,Tank,Size,Chla_ug_cm2,Zoox_ug_protein,Zoox_cm2,BeforeColour,AfterColour,ColourChange,CatalaseU,Surface,Protein_ug_cm2
1315,JAN2019_13-123_A. tenuis_5,A. tenuis,1,11,High,3,Large,0.724006122,-507915.9292,3809917.355,7.278906456,3.722323349,-3.556583107,0,7.256944444,0
1316,JAN2019_13-123_A. tenuis_5,A. tenuis,2,11,High,3,Small,0.570015113,NA,1860869.565,7.134571805,2.665342821,-4.469228984,NA,1.666666667,NA
1317,JAN2019_13-123_A. tenuis_22,A. tenuis,3,11,High,3,Large,1.790659212,-2047303.117,3560084.913,7.079538867,5.127199515,-1.952339352,0,7.118055556,0
1318,JAN2019_13-123_A. tenuis_22,A. tenuis,4,11,High,3,Small,1.42922754,-399989.3815,1276892.596,7.268155468,4.274394616,-2.993760851,0,5,0
1319,JAN2019_13-123_A. tenuis_23,A. tenuis,5,11,High,3,Large,0.948856423,385067.5051,1912729.451,6.614374177,4.527180209,-2.087193968,0.364989023,6.25,0.012557227
1320,JAN2019_13-123_A. tenuis_23,A. tenuis,6,11,High,3,Small,1.524458392,NA,3364794.007,6.95083004,4.519568095,-2.431261944,NA,3.562091503,NA
1321,JAN2019_13-123_A. tenuis_24,A. tenuis,7,11,High,3,Large,2.845806967,3513423.571,20889610.39,7.104347826,6.53208947,-0.572258356,0.476800842,5.694444444,0.016079376
1322,JAN2019_13-123_A. tenuis_24,A. tenuis,8,11,High,3,Small,2.685940527,5409310.345,18947368.42,7.435111989,5.315309725,-2.119802265,0.318370291,5.173611111,0.009004609
1331,JAN2019_13-123_A. tenuis_5,A. tenuis,1,19,High,2,Large,0.633753149,-795823.5294,2897777.778,6.905810277,3.088752827,-3.81705745,0,7.916666667,0
1332,JAN2019_13-123_A. tenuis_5,A. tenuis,2,19,High,2,Small,0.543376422,-558085,3827715.356,7.369380764,3.636452645,-3.732928119,0,3.159722222,0
1333,JAN2019_13-123_A. tenuis_22,A. tenuis,3,19,High,2,Large,1.831101033,2790399.083,13099195.71,6.950395257,4.220503061,-2.729892196,0.379016346,13.57638889,0.012897421
1334,JAN2019_13-123_A. tenuis_22,A. tenuis,4,19,High,2,Small,1.902667265,-1721541.667,8601973.684,7.566706192,5.651056319,-1.915649874,0,5.069444444,0
1335,JAN2019_13-123_A. tenuis_23,A. tenuis,5,19,High,2,Large,0.579673323,1117970.618,4403030.303,6.819894598,4.583485024,-2.236409574,0.197439413,6.736111111,0.009647082
1336,JAN2019_13-123_A. tenuis_23,A. tenuis,6,19,High,2,Small,1.826912186,-1424060.87,5528000,7.061040843,4.692302388,-2.368738455,0,4.027777778,0
1337,JAN2019_13-123_A. tenuis_24,A. tenuis,7,19,High,2,Large,2.723686298,787632.7526,15236421.73,7.437048748,7.21784158,-0.219207169,0.102663872,11.84027778,0.051137756
1338,JAN2019_13-123_A. tenuis_24,A. tenuis,8,19,High,2,Small,2.562380228,1033901.515,12106598.98,7.448998682,6.50919797,-0.939800712,0.175079398,7.013888889,0.032888974
